record_id,bank,location_type,name,zone,address,phone,municipality,province,country,country_code,latitude,longitude,geocoded_address,geocode_query,geocode_quality,coordinate_source,google_maps_coordinate_pattern,google_maps_url,source,source_url
e619b8bb82f0784d,Scotiabank,branch,Scotiabank Acrópolis,Zona Metropolitana,"Av. Winston Churchill, Torre Acrópolis Center",809-732-4444,,,Dominican Republic,DO,18.4696667,-69.9395556,,Scotiabank Acrópolis,maps_branch_name,google_maps_browser_url,place_pin_3d4d,"https://www.google.com/maps/place/Scotiabank+Acr%C3%B3polis/@18.4696667,-69.9395556,17z/data=!3m1!4b1!4m6!3m5!1s0x8eaf89ef0afa83ef:0x62980067f7149ef!8m2!3d18.4696667!4d-69.9395556!16s%2Fg%2F11r3_jb28s?entry=ttu&g_ep=EgoyMDI2MDkyMC4wIKXMDSoASAFQAw%3D%3D",scotiabank_official,https://do.scotiabank.com/acerca-de-scotiabank/conectate-con-scotia/sucursales-y-atms.html
5a0f8f479550885d,Scotiabank,branch,Scotiabank Ágora Mall,Zona Metropolitana,"Av. Abraham Lincoln esq. Av. JFK, Plaza Agora Mall",809-633-7000,,,Dominican Republic,DO,18.4838716,-69.9399436,,Scotiabank Ágora Mall,maps_branch_name,google_maps_browser_url,place_pin_3d4d,"https://www.google.com/maps/place/Scotiabank+Agencia+Agora+Mall/@18.4838716,-69.9399436,17z/data=!3m1!4b1!4m6!3m5!1s0x8eaf891728f2bc93:0xd5c6bc7c402a786!8m2!3d18.4838716!4d-69.9399436!16s%2Fg%2F11mxbtn35t?entry=ttu&g_ep=EgoyMDI2MDkyMC4wIKXMDSoASAFQAw%3D%3D",scotiabank_official,https://do.scotiabank.com/acerca-de-scotiabank/conectate-con-scotia/sucursales-y-atms.html
bcb2f973df2aaa57,Scotiabank,branch,Scotiabank Bella Vista Mall,Zona Metropolitana,Av. Sarasota esq. Los Arrayanes,809-255-0770,,,Dominican Republic,DO,18.4539444,-69.9416944,,Scotiabank Bella Vista Mall,maps_branch_name,google_maps_browser_url,place_pin_3d4d,"https://www.google.com/maps/place/Scotiabank+Bella+Vista/@18.4539444,-69.9416944,17z/data=!3m1!4b1!4m6!3m5!1s0x8ea563fffe561155:0x1b02bbd8780892a9!8m2!3d18.4539444!4d-69.9416944!16s%2Fg%2F11pbg9cxsh?entry=ttu&g_ep=EgoyMDI2MDkyMC4wIKXMDSoASAFQAw%3D%3D",scotiabank_official,https://do.scotiabank.com/acerca-de-scotiabank/conectate-con-scotia/sucursales-y-atms.html
841624545a2748bd,Scotiabank,branch,Scotiabank Bravo - San Isidro,Zona Metropolitana,Aut. Coronel Rafael T. Fernández Domínguez,809-748-0815,,,Dominican Republic,DO,18.4846667,-69.842,,Scotiabank Bravo - San Isidro,maps_branch_name,google_maps_browser_url,place_pin_3d4d,"https://www.google.com/maps/place/Scotiabank+Bravo+-+San+Isidro/@18.4846667,-69.842,17z/data=!3m1!4b1!4m6!3m5!1s0x8eaf8766676e846b:0x42e7813fbf4511e8!8m2!3d18.4846667!4d-69.842!16s%2Fg%2F11r3_hp1mm?entry=ttu&g_ep=EgoyMDI2MDkyMC4wIKXMDSoASAFQAw%3D%3D",scotiabank_official,https://do.scotiabank.com/acerca-de-scotiabank/conectate-con-scotia/sucursales-y-atms.html
81bb27d97670ce25,Scotiabank,branch,Scotiabank Downtown Center,Zona Metropolitana,"Av. Nuñez de Caceres esq. Romulo Betancourt, Bella Vista, 3er nivel. Plaza Downtown",809-545-7161,,,Dominican Republic,DO,18.4511829,-69.9527119,,Scotiabank Downtown Center,maps_branch_name,google_maps_browser_url,place_pin_3d4d,"https://www.google.com/maps/place/Scotiabank+Downtown+Center/@18.4511829,-69.9527119,17z/data=!3m1!4b1!4m6!3m5!1s0x8ea563bc618afeeb:0x1a502fcf31a13258!8m2!3d18.4511829!4d-69.9527119!16s%2Fg%2F11ptpp9b6b?entry=ttu&g_ep=EgoyMDI2MDkyMC4wIKXMDSoASAFQAw%3D%3D",scotiabank_official,https://do.scotiabank.com/acerca-de-scotiabank/conectate-con-scotia/sucursales-y-atms.html
d537786f13bc74ed,Scotiabank,branch,Scotiabank Duarte Sur,Zona Metropolitana,"Av. Duarte esq. Av. Mella, Barrio Chino",809-689-6111,,,Dominican Republic,DO,18.4778056,-69.8874722,,Scotiabank Duarte Sur,maps_branch_name,google_maps_browser_url,place_pin_3d4d,"https://www.google.com/maps/place/Scotiabank+Duarte+Sur/@18.4778056,-69.8874722,17z/data=!3m1!4b1!4m6!3m5!1s0x8eaf899ededcce8f:0xcb63388072731418!8m2!3d18.4778056!4d-69.8874722!16s%2Fg%2F11mxbvq70n?entry=ttu&g_ep=EgoyMDI2MDkyMC4wIKXMDSoASAFQAw%3D%3D",scotiabank_official,https://do.scotiabank.com/acerca-de-scotiabank/conectate-con-scotia/sucursales-y-atms.html
fdaf7064d3ec880e,Scotiabank,branch,Scotiabank Galería 360,Zona Metropolitana,"Av. John F. Kennedy, Centro Comercial Galería 360",809-378-3201,,,Dominican Republic,DO,18.4847457,-69.937091,,Scotiabank Galería 360,maps_branch_name,google_maps_browser_url,place_pin_3d4d,"https://www.google.com/maps/place/Scotiabank+%E2%80%A2+Galer%C3%ADa+360/@18.4847457,-69.937091,17z/data=!3m1!4b1!4m6!3m5!1s0x8eaf89a46beb9ea1:0x4ea7eab3199717c!8m2!3d18.4847457!4d-69.937091!16s%2Fg%2F11rmrdn8vg?entry=ttu&g_ep=EgoyMDI2MDkyMC4wIKXMDSoASAFQAw%3D%3D",scotiabank_official,https://do.scotiabank.com/acerca-de-scotiabank/conectate-con-scotia/sucursales-y-atms.html
52d517b5d20978f7,Scotiabank,branch,Scotiabank Kennedy esq. Lope de Vega (JFK),Zona Metropolitana,Av. John F. Kennedy esq. Lope de Vega,809-544-1700,,,Dominican Republic,DO,18.4833056,-69.9313889,,Scotiabank Kennedy esq. Lope de Vega (JFK),maps_branch_name,google_maps_browser_url,place_pin_3d4d,"https://www.google.com/maps/place/Scotiabank+Kennedy+esq.+Lope+de+Vega/@18.4833056,-69.9313889,17z/data=!3m1!4b1!4m6!3m5!1s0x8eaf89f43f288259:0xa19315084bbd9d12!8m2!3d18.4833056!4d-69.9313889!16s%2Fg%2F11mxbvzrcd?entry=ttu&g_ep=EgoyMDI2MDkyMC4wIKXMDSoASAFQAw%3D%3D",scotiabank_official,https://do.scotiabank.com/acerca-de-scotiabank/conectate-con-scotia/sucursales-y-atms.html
b8831a3a93b18210,Scotiabank,branch,Scotiabank Luperón,Zona Metropolitana,"Av. Luperón No. 77, casi esq. Gustavo Mejía Ricart",809-378-3278,,,Dominican Republic,DO,18.4626667,-69.96925,,Scotiabank Luperón,maps_branch_name,google_maps_browser_url,place_pin_3d4d,"https://www.google.com/maps/place/Scotiabank+Luper%C3%B3n/@18.4626667,-69.96925,17z/data=!3m1!4b1!4m6!3m5!1s0x8ea5619eebd49931:0xfb33744fcdb4e13e!8m2!3d18.4626667!4d-69.96925!16s%2Fg%2F11pbgb30zp?entry=ttu&g_ep=EgoyMDI2MDkyMC4wIKXMDSoASAFQAw%3D%3D",scotiabank_official,https://do.scotiabank.com/acerca-de-scotiabank/conectate-con-scotia/sucursales-y-atms.html
855c8ec6891fd227,Scotiabank,branch,Scotiabank Máximo Gómez,Zona Metropolitana,Av. Máximo Gómez esq. C/ Santiago,809-221-7174,,,Dominican Republic,DO,18.4636111,-69.90975,,Scotiabank Máximo Gómez,maps_branch_name,google_maps_browser_url,place_pin_3d4d,"https://www.google.com/maps/place/Scotiabank+M%C3%A1ximo+G%C3%B3mez/@18.4636111,-69.90975,17z/data=!3m1!4b1!4m6!3m5!1s0x8eaf89819ad751ff:0x453b89727f54bfcb!8m2!3d18.4636111!4d-69.90975!16s%2Fg%2F11mxbxv7xn?entry=ttu&g_ep=EgoyMDI2MDkyMC4wIKXMDSoASAFQAw%3D%3D",scotiabank_official,https://do.scotiabank.com/acerca-de-scotiabank/conectate-con-scotia/sucursales-y-atms.html
