record_id,bank,location_type,name,zone,address,phone,municipality,province,country,country_code,latitude,longitude,geocoded_address,geocode_query,geocode_quality,coordinate_source,google_maps_coordinate_pattern,google_maps_url,source,source_url,api_id,category,extended_hours,actions_performed,fax,special_instructions,weekday_schedule_json,created_at_source,updated_at_source,published_at_source
2e444260357f3a20,Banco BHD,branch,Centro Cultural,,"Calle Pro Juan Bosch, Zona Universitaria",,,,Dominican Republic,DO,18.47817,-69.73682,"Calle Pro Juan Bosch, Zona Universitaria",,official_api,bhd_official_api,,,bhd_public_locations_api,https://backend.bhd.com.do/api/locations,4,sucursales,,,,,[],2022-12-02T07:29:29.390Z,2022-12-23T06:35:04.473Z,2022-12-02T07:29:31.201Z
75e5ae6b3a7d00a3,Banco BHD,branch,Estación Amín Abel,,"Calle Prof Juan Bosch, Zona Universitaria",,,,Dominican Republic,DO,18.4861,-69.9312,"Calle Prof Juan Bosch, Zona Universitaria",,official_api,bhd_official_api,,,bhd_public_locations_api,https://backend.bhd.com.do/api/locations,1,sucursales,,,,,[],2022-12-01T18:14:26.719Z,2022-12-01T18:37:22.471Z,2022-12-01T18:14:28.871Z
69fdb6999276f0c5,Banco BHD,branch,Sucursal Barahona,,"Enriquillo Mota Km 1.5, Barahona 81000",829-822-5000,,,Dominican Republic,DO,18.2089,-71.0953,"Enriquillo Mota Km 1.5, Barahona 81000",,official_api,bhd_official_api,,,bhd_public_locations_api,https://backend.bhd.com.do/api/locations,1612,sucursales,True,,,,"[{""id"":9462,""open_closing_time"":""9:00 a. m. a 7:00 p. m."",""weekday"":""monday""},{""id"":9463,""open_closing_time"":""9:00 a. m. a 7:00 p. m."",""weekday"":""tuesday""},{""id"":9464,""open_closing_time"":""9:00 a. m. a 7:00 p. m."",""weekday"":""wednesday""},{""id"":9465,""open_closing_time"":""9:00 a. m. a 7:00 p. m."",""weekday"":""thursday""},{""id"":9466,""open_closing_time"":""9:00 a. m. a 7:00 p. m."",""weekday"":""friday""},{""id"":9467,""open_closing_time"":""9:00 a. m. a 1:00 p. m."",""weekday"":""saturday""},{""id"":9468,""open_closing_time"":""Cerrado"",""weekday"":""sunday""}]",2026-06-26T20:25:14.912Z,2026-06-26T20:25:17.161Z,2026-06-26T20:25:17.154Z
f3ea6250d9a76c42,Banco BHD,branch,Agencia Boca Chica,ESTE,"Autopista Las Américas Km. 30, Municipio Boca Chica",809-243-5550,,,Dominican Republic,DO,18.45448,-69.60458,"Autopista Las Américas Km. 30, Municipio Boca Chica",,official_api,bhd_official_api,,,bhd_public_locations_api,https://backend.bhd.com.do/api/locations,13,sucursales,False,Puedes realizar tus transacciones y solicitar tus servicios donde ejecutivos especializados te brindarán una asesoría personalizada de acuerdo a tus necesidades.,,Horario de Autobanco: Autobanco: lunes a viernes 8:30 a. m. a 5:00 p. m.,"[{""id"":24,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""monday""},{""id"":26,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""tuesday""},{""id"":25,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""wednesday""},{""id"":27,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""thursday""},{""id"":28,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""friday""},{""id"":29,""open_closing_time"":""9:00 am a 1:00 pm"",""weekday"":""saturday""},{""id"":1159,""open_closing_time"":""Cerrado"",""weekday"":""sunday""}]",2023-01-04T17:32:58.220Z,2025-10-06T21:46:17.884Z,2023-02-09T14:13:49.840Z
d0a70fa3625a4e85,Banco BHD,branch,Agencia Monte Plata,ESTE,"Calle Altagracia Esq. Luis A. Rojas Monte Plata, Rep. Dom.",829-243-5000,,,Dominican Republic,DO,18.80867,-69.78476,"Calle Altagracia Esq. Luis A. Rojas Monte Plata, Rep. Dom.",,official_api,bhd_official_api,,,bhd_public_locations_api,https://backend.bhd.com.do/api/locations,15,sucursales,False,Puedes realizar tus transacciones y solicitar tus servicios donde ejecutivos especializados te brindarán una asesoría personalizada de acuerdo a tus necesidades.,,,"[{""id"":37,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""monday""},{""id"":36,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""tuesday""},{""id"":38,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""wednesday""},{""id"":39,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""thursday""},{""id"":40,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""friday""},{""id"":41,""open_closing_time"":""9:00 am - 1:00 pm"",""weekday"":""saturday""},{""id"":1161,""open_closing_time"":""Cerrado"",""weekday"":""sunday""}]",2023-01-04T17:36:33.396Z,2023-02-20T18:02:03.402Z,2023-02-09T14:13:49.840Z
343c6b895bf811cb,Banco BHD,branch,Agencia Multiplaza Higuey,ESTE,"En La Intersección De Las Calles José A. Santana Y Hermanos Trejo, Municipio De Higuey, Provincia La Altagracia, R.D.",809-831-7020,,,Dominican Republic,DO,18.6015144,-68.7190369,"En La Intersección De Las Calles José A. Santana Y Hermanos Trejo, Municipio De Higuey, Provincia La Altagracia, R.D.",,official_api,bhd_official_api,,,bhd_public_locations_api,https://backend.bhd.com.do/api/locations,16,sucursales,False,Puedes realizar tus transacciones y solicitar tus servicios donde ejecutivos especializados te brindarán una asesoría personalizada de acuerdo a tus necesidades.,,,"[{""id"":42,""open_closing_time"":""9:00 am - 7:00 pm"",""weekday"":""monday""},{""id"":43,""open_closing_time"":""9:00 am - 7:00 pm"",""weekday"":""tuesday""},{""id"":44,""open_closing_time"":""9:00 am - 7:00 pm"",""weekday"":""wednesday""},{""id"":45,""open_closing_time"":""9:00 am - 7:00 pm"",""weekday"":""thursday""},{""id"":46,""open_closing_time"":""9:00 am - 7:00 pm"",""weekday"":""friday""},{""id"":47,""open_closing_time"":""9:00 am a 2:00 pm"",""weekday"":""saturday""},{""id"":1162,""open_closing_time"":""Cerrado"",""weekday"":""sunday""}]",2023-01-04T17:38:51.706Z,2023-02-20T18:06:30.677Z,2023-02-09T14:13:49.840Z
720a273824d08d00,Banco BHD,branch,Agencia San Pedro de Macorís I,ESTE,"Calle Independencia Esq. Dr. Tío , San Pedro De Macorís, Rep. Dom.",809-830-7000,,,Dominican Republic,DO,18.45638,-69.30648,"Calle Independencia Esq. Dr. Tío , San Pedro De Macorís, Rep. Dom.",,official_api,bhd_official_api,,,bhd_public_locations_api,https://backend.bhd.com.do/api/locations,11,sucursales,False,Puedes realizar tus transacciones y solicitar tus servicios donde ejecutivos especializados te brindarán una asesoría personalizada de acuerdo a tus necesidades.,,Horario de Autocaja: Lunes a Viernes 8:30 a.m. - 5:00 p.m.,"[{""id"":12,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""monday""},{""id"":14,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""tuesday""},{""id"":13,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""wednesday""},{""id"":15,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""thursday""},{""id"":16,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""friday""},{""id"":17,""open_closing_time"":""9:00 am a 1:00 pm"",""weekday"":""saturday""},{""id"":1157,""open_closing_time"":""Cerrado"",""weekday"":""sunday""}]",2023-01-04T14:40:53.337Z,2023-11-23T15:38:06.674Z,2023-02-09T14:13:49.840Z
95e27b017fd6f143,Banco BHD,branch,Agencia Verón,ESTE,"Carretera Verón, Cruce De Verón-Bávaro, Provincia Higuey",809-831-7002,,,Dominican Republic,DO,18.60091,-68.42003,"Carretera Verón, Cruce De Verón-Bávaro, Provincia Higuey",,official_api,bhd_official_api,,,bhd_public_locations_api,https://backend.bhd.com.do/api/locations,17,sucursales,False,Puedes realizar tus transacciones y solicitar tus servicios donde ejecutivos especializados te brindarán una asesoría personalizada de acuerdo a tus necesidades.,,HORARIO DE AUTO BANCO: LUNES A VIERNES DE 8:30 A. M. A 5:00 P. M.,"[{""id"":48,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""monday""},{""id"":49,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""tuesday""},{""id"":50,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""wednesday""},{""id"":51,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""thursday""},{""id"":52,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""friday""},{""id"":53,""open_closing_time"":""9:00 am - 1:00 pm"",""weekday"":""saturday""},{""id"":1163,""open_closing_time"":""Cerrado"",""weekday"":""sunday""}]",2023-01-04T17:51:38.777Z,2026-03-18T14:53:50.708Z,2023-02-09T14:13:49.840Z
0898812c14f964c9,Banco BHD,branch,Higuey,Este,"C/ Agustín Guerrero Esq. Antonio Valdez Hijo No. 66, Municipio De Salvadeon De Higuey, Provincia La Altagracia, R.D.",809-831-7000,,,Dominican Republic,DO,18.61395,-68.71298,"C/ Agustín Guerrero Esq. Antonio Valdez Hijo No. 66, Municipio De Salvadeon De Higuey, Provincia La Altagracia, R.D.",,official_api,bhd_official_api,,,bhd_public_locations_api,https://backend.bhd.com.do/api/locations,12,sucursales,False,Puedes realizar tus transacciones y solicitar tus servicios donde ejecutivos especializados te brindarán una asesoría personalizada de acuerdo a tus necesidades.,,,"[{""id"":18,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""monday""},{""id"":19,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""tuesday""},{""id"":20,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""wednesday""},{""id"":21,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""thursday""},{""id"":22,""open_closing_time"":""8:30 am - 4:00 pm"",""weekday"":""friday""},{""id"":23,""open_closing_time"":""9:00 am a 1:00 pm"",""weekday"":""saturday""},{""id"":1158,""open_closing_time"":""Cerrado"",""weekday"":""sunday""}]",2023-01-04T14:42:42.563Z,2023-02-20T16:03:25.574Z,2023-02-09T14:13:49.840Z
52da771dd57bf543,Banco BHD,branch,La Romana II,ESTE,"Av. Santa Rosa No. 153 Esq. Calle Teniente Amado García Guerrero, La Romana",809-898-3001,,,Dominican Republic,DO,18.4293283,-68.9689527,"Av. Santa Rosa No. 153 Esq. Calle Teniente Amado García Guerrero, La Romana",,official_api,bhd_official_api,,,bhd_public_locations_api,https://backend.bhd.com.do/api/locations,14,sucursales,False,Puedes realizar tus transacciones y solicitar tus servicios donde ejecutivos especializados te brindarán una asesoría personalizada de acuerdo a tus necesidades.,,Horario de Autobanco: Lunes a Viernes 8:30 a.m. - 6:00 p.m.,"[{""id"":30,""open_closing_time"":""8:30 am - 5:00 pm"",""weekday"":""monday""},{""id"":31,""open_closing_time"":""8:30 am - 5:00 pm"",""weekday"":""tuesday""},{""id"":32,""open_closing_time"":""8:30 am - 5:00 pm"",""weekday"":""wednesday""},{""id"":33,""open_closing_time"":""8:30 am - 5:00 pm"",""weekday"":""thursday""},{""id"":34,""open_closing_time"":""8:30 am - 5:00 pm"",""weekday"":""friday""},{""id"":35,""open_closing_time"":""9:00 am - 1:00 pm"",""weekday"":""saturday""},{""id"":1160,""open_closing_time"":""Cerrado"",""weekday"":""sunday""}]",2023-01-04T17:35:04.285Z,2023-11-23T14:13:06.306Z,2023-02-09T14:13:49.840Z
